"Name","Version","License","Author","URL"
"munkres","1.1.4","Apache Software License","Brian Clapper","https://software.clapper.org/munkres/"
"nbclassic","1.0.0","BSD License","Jupyter Development Team","https://github.com/jupyter/nbclassic"
"nbclient","0.8.0","BSD License","Jupyter Development Team <jupyter@googlegroups.com>","https://jupyter.org"
"nbconvert","7.4.0","BSD License","Jupyter Development Team <jupyter@googlegroups.com>","https://jupyter.org"
"nbformat","5.8.0","BSD License","Jupyter Development Team <jupyter@googlegroups.com>","https://jupyter.org"
"nest-asyncio","1.5.6","BSD License","Ewald R. de Wit","https://github.com/erdewit/nest_asyncio"
"notebook","6.5.2","BSD License","Jupyter Development Team","http://jupyter.org"
"notebook_shim","0.2.3","BSD License","Jupyter Development Team <jupyter@googlegroups.com>","UNKNOWN"
"numpy","1.24.3","BSD License","Travis E. Oliphant et al.","https://www.numpy.org"
"oauthlib","3.2.2","BSD License","The OAuthlib Community","https://github.com/oauthlib/oauthlib"
"openpyxl","3.1.2","MIT License","See AUTHORS","https://openpyxl.readthedocs.io"
"packaging","23.1","Apache Software License; BSD License","Donald Stufft <donald@stufft.io>","https://github.com/pypa/packaging"
"pamela","1.0.0","MIT License","Min RK","https://github.com/minrk/pamela"
"pandas","2.0.1","BSD License","The Pandas Development Team <pandas-dev@python.org>","https://pandas.pydata.org"
"pandocfilters","1.5.0","BSD License","John MacFarlane","http://github.com/jgm/pandocfilters"
"parso","0.8.3","MIT License","David Halter","https://github.com/davidhalter/parso"
"peewee","3.16.2","MIT License","Charles Leifer","https://github.com/coleifer/peewee/"
"pexpect","4.8.0","ISC License (ISCL)","Noah Spurrier; Thomas Kluyver; Jeff Quast","https://pexpect.readthedocs.io/"
"pickleshare","0.7.5","MIT License","Ville Vainio","https://github.com/pickleshare/pickleshare"
"pkgutil_resolve_name","1.3.10","MIT License","Vinay Sajip","https://github.com/graingert/pkgutil-resolve-name"
"platformdirs","3.5.1","MIT License","UNKNOWN","https://github.com/platformdirs/platformdirs"
"pluggy","1.0.0","MIT License","Holger Krekel","https://github.com/pytest-dev/pluggy"
"pooch","1.7.0","BSD License","The Pooch Developers","https://github.com/fatiando/pooch"
"prometheus-client","0.16.0","Apache Software License","Brian Brazil","https://github.com/prometheus/client_python"
"prompt-toolkit","3.0.38","BSD License","Jonathan Slenders","https://github.com/prompt-toolkit/python-prompt-toolkit"
"psutil","5.9.5","BSD License","Giampaolo Rodola","https://github.com/giampaolo/psutil"
"ptyprocess","0.7.0","ISC License (ISCL)","Thomas Kluyver","https://github.com/pexpect/ptyprocess"
"pure-eval","0.2.2","MIT License","Alex Hall","http://github.com/alexmojaki/pure_eval"
"pyOpenSSL","23.1.1","Apache Software License","The pyOpenSSL developers","https://pyopenssl.org/"
"pycosat","0.6.4","MIT","Ilan Schnell","https://github.com/ContinuumIO/pycosat"
"pycparser","2.21","BSD License","Eli Bendersky","https://github.com/eliben/pycparser"
"pycurl","7.45.1","GNU Library or Lesser General Public License (LGPL); MIT License","Oleg Pudeyev","http://pycurl.io/"
"pypardiso","0.4.2","BSD License","Adrian Haas","https://github.com/haasad/PyPardisoProject"
"pyparsing","3.0.9","MIT License","Paul McGuire <ptmcg.gm+pyparsing@gmail.com>","https://github.com/pyparsing/pyparsing/"
"pyrsistent","0.19.3","MIT License","Tobias Gustafsson","https://github.com/tobgu/pyrsistent/"
"python-dateutil","2.8.2","Apache Software License; BSD License","Gustavo Niemeyer","https://github.com/dateutil/dateutil"
"python-json-logger","2.0.7","BSD License","Zakaria Zajac","http://github.com/madzak/python-json-logger"
"pytz","2023.3","MIT License","Stuart Bishop","http://pythonhosted.org/pytz"
"pyxlsb","1.0.10","GNU Lesser General Public License v3 or later (LGPLv3+)","William Turner","https://github.com/willtrnr/pyxlsb"
"pyzmq","25.0.2","BSD License; GNU Library or Lesser General Public License (LGPL)","Brian E. Granger, Min Ragan-Kelley","https://pyzmq.readthedocs.org"
"requests","2.31.0","Apache Software License","Kenneth Reitz","https://requests.readthedocs.io"
"rfc3339-validator","0.1.4","MIT License","Nicolas Aimetti","https://github.com/naimetti/rfc3339-validator"
"rfc3986-validator","0.1.1","MIT License","Nicolas Aimetti","https://github.com/naimetti/rfc3986-validator"
"ruamel.yaml","0.17.26","MIT License","Anthon van der Neut","https://sourceforge.net/p/ruamel-yaml/code/ci/default/tree"
"ruamel.yaml.clib","0.2.7","MIT License","Anthon van der Neut","https://sourceforge.net/p/ruamel-yaml-clib/code/ci/default/tree"
"scipy","1.10.1","BSD License","UNKNOWN","https://scipy.org/"
"setuptools-scm","7.1.0","MIT License","Ronny Pfannschmidt","https://github.com/pypa/setuptools_scm/"
"six","1.16.0","MIT License","Benjamin Peterson","https://github.com/benjaminp/six"
"sniffio","1.3.0","Apache Software License; MIT License","Nathaniel J. Smith","https://github.com/python-trio/sniffio"
"soupsieve","2.3.2.post1","MIT License","Isaac Muse <Isaac.Muse@gmail.com>","https://github.com/facelessuser/soupsieve"
"stack-data","0.6.2","MIT License","Alex Hall","http://github.com/alexmojaki/stack_data"
"stats-arrays","0.6.5","BSD License","Chris Mutel","https://bitbucket.org/cmutel/stats_arrays"
"tabulate","0.9.0","MIT License","Sergey Astanin <s.astanin@gmail.com>","https://github.com/astanin/python-tabulate"
"terminado","0.17.1","BSD License","Jupyter Development Team <jupyter@googlegroups.com>","https://github.com/jupyter/terminado"
"tinycss2","1.2.1","BSD License","Simon Sapin <simon.sapin@exyr.org>","https://www.courtbouillon.org/tinycss2"
"tomli","2.0.1","MIT License","Taneli Hukkinen <hukkin@users.noreply.github.com>","https://github.com/hukkin/tomli"
"toolz","0.12.0","BSD License","https://raw.github.com/pytoolz/toolz/master/AUTHORS.md","https://github.com/pytoolz/toolz/"
"tornado","6.3.2","Apache Software License","Facebook","http://www.tornadoweb.org/"
"tqdm","4.65.0","MIT License; Mozilla Public License 2.0 (MPL 2.0)","UNKNOWN","https://tqdm.github.io"
"traitlets","5.9.0","BSD License","IPython Development Team <ipython-dev@python.org>","https://github.com/ipython/traitlets"
"typing_extensions","4.6.0","Python Software Foundation License","""Guido van Rossum, Jukka Lehtosalo, Łukasz Langa, Michael Lee"" <levkivskyi@gmail.com>","https://github.com/python/typing_extensions"
"tzdata","2023.3","Apache Software License","Python Software Foundation","https://github.com/python/tzdata"
"unicodedata2","15.0.0","Apache License 2.0","Mike Kaplinskiy","http://github.com/fonttools/unicodedata2"
"urllib3","2.0.2","MIT License","Andrey Petrov <andrey.petrov@shazow.net>","https://github.com/urllib3/urllib3/blob/main/CHANGES.rst"
"voluptuous","0.13.1","BSD License","Alec Thomas","https://github.com/alecthomas/voluptuous"
"webencodings","0.5.1","BSD License","Simon Sapin","https://github.com/SimonSapin/python-webencodings"
"websocket-client","1.5.2","Apache Software License","liris","https://github.com/websocket-client/websocket-client.git"
"wrapt","1.15.0","BSD License","Graham Dumpleton","https://github.com/GrahamDumpleton/wrapt"
"xlrd","2.0.1","BSD License","Chris Withers","http://www.python-excel.org/"
"y-py","0.5.9","MIT License","John Waidhofer <waidhoferj@gmail.com>, Kevin Jahns <kevin.jahns@protonmail.com>, Pierre-Olivier Simonard <pierre.olivier.simonard@gmail.com>","https://github.com/y-crdt/ypy"
"ypy-websocket","0.8.2","UNKNOWN","David Brochart <david.brochart@gmail.com>","https://github.com/y-crdt/ypy-websocket"
"zipp","3.15.0","MIT License","Jason R. Coombs","https://github.com/jaraco/zipp"
"zstandard","0.19.0","BSD License","Gregory Szorc","https://github.com/indygreg/python-zstandard"
